"","Year","IPP_and_CHP","Coal","Hydroelectric","Natural_Gas","Other","Other_Biomass","Petroleum","Solar","Wood"
"1",2018,23130533,813489,68602,17931041,471227,1169315,258105,621705,1797049
"2",2017,19465983,727678,60014,15484922,213322,903606,147258,203992,1725191
"3",2016,16330496,893986,80496,11892144,461826,1101848,153110,15912,1731175
"4",2015,16838521,1208327,86724,11883098,461553,1099390,256910,0,1842520
"5",2014,14170524,1775088,73580,8834318,499767,1092185,269420,0,1626166
"6",2013,13171706,1424994,83007,8869755,474767,955276,87552,0,1276356
"7",2012,14550834,1607523,74416,10329179,396689,918748,129663,0,1094616
"8",2011,13342195,2637918,78574,8270215,470239,776112,108247,0,1000891
"9",2010,14064402,4093636,75576,7425280,414121,815345,258935,0,981510
"10",2009,10856698,3174650,82518,4853295,420042,709203,349250,0,1267740
"11",2008,12898129,5997202,63581,3964532,434205,782172,246931,0,1409507
"12",2007,14043775,5995261,65911,4956232,476945,773245,443009,0,1333172
"13",2006,11893186,5734471,80487,3434359,491019,678408,177112,0,1297332
"14",2005,13486965,6621551,93201,3880291,478834,695203,455524,0,1262361
"15",2004,13796387,7883021,92936,2461538,488023,699237,489202,0,1682430
"16",2003,13503073,7947628,111776,1928392,452936,673814,798022,0,1587545
"17",2002,12125526,6983074,27842,2258525,446923,663350,337890,0,1407922
"18",2001,11969252,7112480,40659,2065429,396806,598967,606805,0,1148106
"19",2000,11346651,5796761,62370,2813477,2476,464454,529944,0,1677170
"20",1999,8826540,3701049,61613,2039874,1828,1071609,327711,0,1622857
"21",1998,8384878,3404469,72312,2038080,1987,1059387,271454,0,1537190
"22",1997,9529343,4483521,80707,588096,2261,1053131,1912320,0,1409307
"23",1996,10362207,4551836,89335,2809049,2333,898655,591951,0,1419047
"24",1995,10268551,4054195,77372,3550863,7689,696511,481154,0,1400767
"25",1994,9316640,4141711,75286,2529147,5621,652962,516304,0,1395609
"26",1993,9061605,4687521,66095,2238431,4026,427508,342913,0,1295112
"27",1992,7388762,3549016,72131,1298200,484,759915,430041,0,1278975
"28",1991,5788441,2882365,67981,626447,0,701130,317518,0,1193000
"29",1990,5363959,2899721,48136,376521,0,620794,244114,0,1174673
