"","Year","Electric_Utilities","Coal","Hydroelectric","Natural_Gas","Nuclear","Other_Biomass","Petroleum","Pumped_Storage","Solar","Wood"
"1",2018,23975.4,3214,844.6,10856.6,3568,1,1953,3241,61.2,236
"2",2017,22371.2,3214,844.6,9271.6,3568,1,1955.6,3241,39.4,236
"3",2016,22327.5,3214,844.6,9238.6,3568,1,1960.7,3241,23.6,236
"4",2015,20928.1,3674,844.6,7410,3568,1,1953.5,3241,0,236
"5",2014,22061.5,4811,844.6,7410,3568,1,1949.9,3241,0,236
"6",2013,20601.1,4811,844.6,5936.3,3581.3,1,1949.9,3241,0,236
"7",2012,20626.1,5205,844.8,5709.3,3562,1,1980,3241,0,83
"8",2011,19999,4600.5,844.8,5710.7,3539,0,1980,3241,0,83
"9",2010,19429.5,4594,844.8,5121.7,3501,0,2044,3241,0,83
"10",2009,19130.9,4587,694.7,5075.7,3404,0,2045.5,3241,0,83
"11",2008,18823.7,4587,655.5,4896.7,3404,0,2036.5,3161,0,83
"12",2007,18372,4605,654,4429,3404,0,2037,3161,0,83
"13",2006,18162,4586,650,4395,3432,0,2023,2997,0,80
"14",2005,18087,4586,650,4395,3432,0,2027,2917,0,80
"15",2004,17547,4468,760,4101,3440,0,2078,2700,0,0
"16",2003,17045,4405,759,3714,3467,0,2061,2638,0,0
"17",2002,15817,4789,738,2097,3467,0,2081,2645,0,0
"18",2001,15761,4784,738,2119,3467,0,2180,2345,0,0
"19",2000,15608,4796,742,1877,3467,0,2176,2345,0,0
"20",1999,15312,5099,739,1318,3392,0,2214,2345,0,0
"21",1998,15316,5099,742,1318,3392,0,2214,2345,0,0
"22",1997,15293,5099,740,1395,3392,0,2193,2345,0,0
"23",1996,14764,5099,741,865,3392,0,2193,2345,0,0
"24",1995,14300,5451,742,995,3392,0,1375,2345,0,0
"25",1994,13764,4217,764,400,3349,0,2690,2345,0,0
"26",1993,14055,4217,765,595,3349,0,2785,2345,0,0
"27",1992,14020,4217,763,336,3349,0,2753,2345,0,0
"28",1991,13652,4210,765,136,3382,0,2753,2345,0,0
"29",1990,13661,4225,765,130,3382,0,2752,2345,0,0
