"","Year","Electric_Utilities","Coal","Hydroelectric","Natural_Gas","Nuclear","Other_Biomass","Petroleum","Pumped_Storage","Solar","Wood"
"1",2018,72376443,8452786,1696258,32227115,29251668,2700,692307,-1291976,141367,1204218
"2",2017,70951368,9998745,1056341,29022166,30553734,3798,308867,-1277795,109229,1176283
"3",2016,76224379,15605426,1390966,29012699,29731895,3957,382310,-1162636,4996,1254766
"4",2015,67573071,16023099,1071704,21401118,28060358,3642,850925,-1036382,0,1198607
"5",2014,62966914,19043496,881608,12047248,30220977,4826,935487,-1295354,0,1128627
"6",2013,63724860,19735508,1170663,13781412,29326231,4449,225736,-1189000,0,669861
"7",2012,56188401,12573273,969358,14708570,28723390,3906,234305,-1365574,0,341173
"8",2011,53328664,17243195,1131815,10062158,25547997,13526,394399,-1469539,0,405112
"9",2010,58902054,21365585,1424606,9573845,26571899,0,1033926,-1490602,0,422794
"10",2009,59225368,22424638,1396112,7348089,28212252,0,738411,-1334709,0,440576
"11",2008,59780402,25779154,947412,5350551,27930764,0,903428,-1637688,0,506781
"12",2007,64316732,29425485,1182353,5947608,27268475,0,1653940,-1620283,0,459154
"13",2006,61176351,28553670,1270707,3781091,27593516,0,662100,-1167444,0,482711
"14",2005,65456080,28803324,1391152,4414479,27918481,0,3809135,-1420823,0,540332
"15",2004,65103653,27772985,1490114,3976271,28315294,0,4664410,-1166111,0,50690
"16",2003,61806347,29145703,1669793,2690674,24816022,0,4982314,-1498159,0,0
"17",2002,62880125,31099307,840374,2128402,27346163,0,3454714,-1988835,0,0
"18",2001,62135492,30657436,973563,2130640,25759130,0,4854800,-2240077,0,0
"19",2000,65842720,33964556,649614,1839850,28321091,0,2408600,-1340991,0,0
"20",1999,65071068,31743474,620073,2599607,28300643,0,3035028,-1227757,0,0
"21",1998,63814565,31471297,1210984,2198665,27234399,0,2654660,-955440,0,0
"22",1997,58985991,29676411,939569,1291954,27084059,0,857789,-863791,0,0
"23",1996,56532918,27930011,1339167,1123697,26286283,0,683363,-829603,0,0
"24",1995,52727470,24442870,917654,1880982,25134831,0,1119524,-768394,3,0
"25",1994,52732286,22448944,1070830,2151992,25428856,0,2373888,-742235,11,0
"26",1993,52181906,24722481,1247208,2139635,22688763,0,2157896,-774085,8,0
"27",1992,48963593,22676018,1017844,1177489,23334340,0,1422824,-664933,11,0
"28",1991,48940655,21939027,1012074,1104440,23886268,0,2036478,-1037665,33,0
"29",1990,47200499,21000180,1261363,758289,23820152,0,1194150,-833669,34,0
