Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2018,84,A & N Electric Coop,MD,PJM,35,.,.,.,35,1,.,.,.,1,0.1,.,.,.,0.1,0.0,.,.,.,0.0,0,.,.,.,0,1,.,.,.,1,.
2018,84,A & N Electric Coop,VA,PJM,"2,101",.,.,.,"2,101",63,.,.,.,63,8.4,.,.,.,8.4,2.1,.,.,.,2.1,0,.,.,.,0,15,.,.,.,15,.
2018,97,Adams Electric Coop,IL,MISO,"4,309",68,.,.,"4,377",.,.,.,.,.,4.0,6.0,.,.,10.0,4.0,.,.,.,4.0,67,360,.,.,427,11,.,.,.,11,11
2018,108,Adams-Columbia Electric Coop,WI,MISO,"3,912",.,915,.,"4,827","1,665",.,"16,237",.,"17,902",20.3,.,59.5,.,79.8,6.1,.,5.6,.,11.7,303,.,9,.,312,158,.,.,.,158,.
2018,189,PowerSouth Energy Cooperative,AL,AEC,"20,374",.,.,.,"20,374",0,.,.,.,0,17.6,.,.,.,17.6,17.6,.,.,.,17.6,0,.,.,.,0,229,.,.,.,229,.
2018,195,Alabama Power Co,AL,SOCO,"6,250",2,80,.,"6,332",42,2,"1,153",.,"1,197",143.5,10.3,"1,405.2",.,"1,559.0",6.5,1.7,60.6,.,68.8,0,0,0,.,0,571,77,"24,462",.,"25,110",.
2018,213,Alaska Electric Light&Power Co,AK,NA,"2,353",46,1,.,"2,400",.,.,.,.,.,5.0,13.0,9.0,.,27.0,0.0,13.0,9.0,.,22.0,65,1,.,.,66,28,0,.,.,28,.
2018,295,City of Alexandria - (MN),MN,MISO,"2,821",.,.,.,"2,821",.,.,.,.,.,9.0,.,.,.,9.0,3.7,.,.,.,3.7,0,.,.,.,0,44,.,.,.,44,.
2018,329,"Allamakee-Clayton El Coop, Inc",IA,MISO,"2,622",162,.,.,"2,784",0,0,.,.,0,4.8,2.0,.,.,6.8,2.4,1.0,.,.,3.4,404,25,.,.,429,136,8,.,.,144,.
2018,332,Allegheny Electric Coop Inc,PA,PJM,"46,695",.,.,.,"46,695",.,.,.,.,.,47.0,.,.,.,47.0,47.0,.,.,.,47.0,.,.,.,.,.,"2,273",.,.,.,"2,273",21
2018,407,Altamaha Electric Member Corp,GA,SOCO,.,249,.,.,249,.,226,.,.,226,.,11.9,.,.,11.9,.,5.0,.,.,5.0,.,0,.,.,0,.,5,.,.,5,.
2018,590,City of Anaheim - (CA),CA,CISO,.,3,11,.,14,.,.,.,.,.,.,5.0,8.0,.,13.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,733,Appalachian Power Co,VA,PJM,"5,955",0,1,0,"5,956",164,0,0,0,164,5.6,0.0,14.0,0.0,19.6,5.6,0.0,0.0,0.0,5.6,238,0,0,0,238,861,0,0,0,861,.
2018,733,Appalachian Power Co,WV,PJM,"2,245",0,5,0,"2,250",50,0,0,0,50,2.2,0.0,127.0,0.0,129.2,2.2,0.0,0.0,0.0,2.2,71,0,0,0,71,619,0,0,0,619,.
2018,803,Arizona Public Service Co,AZ,AZPS,"637,164",174,.,.,"637,338","740,785","116,814",.,.,"857,599",169.1,26.7,.,.,195.8,169.1,1.7,.,.,170.8,166,0,.,.,166,"2,780","1,888",.,.,"4,667",.
2018,807,Arkansas Electric Coop Corp,AR,SWPP,.,.,8,.,8,.,.,.,.,.,.,.,653.0,.,653.0,.,.,151.0,.,151.0,.,.,"29,943",.,"29,943",.,.,.,.,.,.
2018,814,Entergy Arkansas LLC,AR,MISO,"22,630",.,"1,009",.,"23,639",68,.,0,.,68,30.1,.,9.6,.,39.7,30.1,.,9.6,.,39.7,673,.,337,.,"1,010","2,733",.,"3,086",.,"5,819",.
2018,828,City of Arlington - (MN),MN,MISO,442,31,0,0,473,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,1,.,.,12,.,.,.,.,.,.
2018,963,Atlantic City Electric Co,NJ,PJM,"45,620",.,.,.,"45,620",613,.,.,.,613,62.3,.,.,.,62.3,62.3,.,.,.,62.3,8,.,.,.,8,"1,343",.,.,.,"1,343",.
2018,1009,City of Austin - (MN),MN,MISO,"6,683",2,.,.,"6,685",233,4,.,.,237,3.7,0.4,.,.,4.1,3.7,0.4,.,.,4.1,0,18,.,.,18,.,.,.,.,.,.
2018,1015,Austin Energy,TX,ERCO,"62,781","5,794",575,.,"69,150",89,.,.,.,89,70.7,63.4,20.4,.,154.5,40.9,44.5,14.0,.,99.4,"2,109","1,198",399,.,"3,706",762,159,53,.,974,957
2018,1062,BARC Electric Coop Inc,VA,PJM,"2,237",.,.,.,"2,237",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,1167,Baltimore Gas & Electric Co,MD,PJM,"341,427",.,.,.,"341,427","4,042",.,.,.,"4,042",286.1,.,.,.,286.1,0.0,.,.,.,0.0,"22,266",.,.,.,"22,266","12,739",.,.,.,"12,739",.
2018,1233,City of Barnesville - (MN),MN,MISO,889,60,.,.,949,9,.,.,.,9,1.0,.,.,.,1.0,1.0,.,.,.,1.0,11,.,.,.,11,10,.,.,.,10,.
2018,1251,Barron Electric Coop,WI,MISO,"6,348",374,0,0,"6,722",0,0,0,0,0,3.5,10.9,0.0,0.0,14.4,1.4,4.6,0.0,0.0,6.0,27,2,0,0,29,81,5,0,0,86,2
2018,1367,"Bayfield Electric Coop, Inc",WI,MISO,"1,081",6,.,.,"1,087",410,19,.,.,429,2.0,0.0,.,.,2.0,2.0,0.0,.,.,2.0,8,3,.,.,10,3,0,.,.,3,.
2018,1529,"Beltrami Electric Coop, Inc",MN,MISO,"7,274",230,76,.,"7,580","5,732",0,0,.,"5,732",29.0,5.0,0.0,.,34.0,24.4,5.0,0.0,.,29.4,42,.,.,.,42,301,.,.,.,301,374
2018,1573,City of Benson - (MN),MN,MISO,968,35,.,.,"1,003",.,.,.,.,.,3.4,0.4,.,.,3.8,2.6,0.4,.,.,3.0,1,.,.,.,1,9,.,.,.,9,.
2018,1613,Berkeley Electric Coop Inc,SC,SC,"18,500",.,.,.,"18,500",0,.,.,.,0,83.0,.,.,.,83.0,7.4,.,.,.,7.4,55,.,.,.,55,120,.,.,.,120,.
2018,1769,"Black Hills Electric Coop, Inc",SD,SWPP,468,10,0,0,478,4,1,0,0,5,0.8,0.1,0.0,0.0,0.9,0.4,0.1,0.0,0.0,0.5,0,0,0,0,0,3,14,0,0,17,.
2018,1883,Blue Earth Light & Water,MN,MISO,568,.,.,.,568,31,.,.,.,31,4.0,.,.,.,4.0,1.0,.,.,.,1.0,42,.,.,.,42,.,.,.,.,.,.
2018,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,"3,023",.,.,.,"3,023",4,.,.,.,4,2.0,.,.,.,2.0,1.2,.,.,.,1.2,.,.,.,.,.,.,.,.,.,.,.
2018,2182,City of Breckenridge- (MN),MN,MISO,654,92,0,0,746,1,1,0,0,2,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,.,.,.,.,.,7,1,.,.,8,.
2018,2192,Bremen Electric Light & Power Co,IN,MISO,.,.,1,.,1,.,.,.,.,.,.,.,4.9,.,4.9,.,.,4.4,.,4.4,.,.,71,.,71,.,.,.,.,.,.
2018,2599,Burt County Public Power Dist,NE,SWPP,.,.,358,.,358,.,.,240,.,240,.,.,19.0,.,19.0,.,.,2.0,.,2.0,.,.,.,.,.,.,.,10,.,10,.
2018,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,SWPP,"6,682",796,8,.,"7,486",.,.,.,.,.,2.6,0.4,1.0,.,4.0,1.8,0.2,0.5,.,2.5,.,.,.,.,.,.,.,.,.,.,.
2018,2643,Butler Public Power District - (NE),NE,SWPP,0,0,766,0,766,0,0,26,0,26,0.0,0.0,18.4,0.0,18.4,0.0,0.0,5.6,0.0,5.6,0,0,0,0,0,0,0,5,0,5,0
2018,2655,"Butte Electric Coop, Inc",SD,WACM,"1,638",.,.,.,"1,638",959,.,.,.,959,10.0,.,.,.,10.0,2.0,.,.,.,2.0,5,.,.,.,5,8,.,.,.,8,.
2018,2678,C & L Electric Coop Corp,AR,MISO,.,56,.,.,56,.,.,.,.,.,.,1.4,.,.,1.4,.,0.7,.,.,0.7,.,22,.,.,22,.,3,.,.,3,.
2018,2985,"Capital Electric Coop, Inc",ND,SWPP,"5,888",9,24,.,"5,921",.,.,.,.,.,2.6,0.0,1.3,.,3.9,1.6,0.0,1.3,.,2.9,92,1,47,.,140,203,2,4,.,209,53
2018,3046,Duke Energy Progress - (NC),NC,CPLE,"10,749",245,.,.,"10,994",0,0,.,.,0,15.0,150.3,.,.,165.3,12.5,129.9,.,.,142.4,"4,466","1,296",.,.,"5,762","8,143",164,.,.,"8,307",.
2018,3046,Duke Energy Progress - (NC),SC,CPLE,0,43,.,.,43,0,0,.,.,0,0.0,89.3,.,.,89.3,0.0,79.8,.,.,79.8,713,207,.,.,920,"1,300",26,.,.,"1,327",.
