"Table 5. Electric power industry generation by primary energy source, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2018
Electric utilities,"72,376,443","70,951,368","76,224,379","67,573,071","62,966,914","63,724,860","56,188,401","53,328,664","58,902,054","59,225,368","59,780,402","64,316,732","61,176,351","65,456,080","65,103,653","61,806,347","62,880,125","62,135,492","65,842,720","65,071,068","63,814,565","58,985,991","56,532,918","52,727,470","52,732,286","52,181,906","48,963,593","48,940,655","47,200,499",85.3,80.7,75.8
Coal,"8,452,786","9,998,745","15,605,426","16,023,099","19,043,496","19,735,508","12,573,273","17,243,195","21,365,585","22,424,638","25,779,154","29,425,485","28,553,670","28,803,324","27,772,985","29,145,703","31,099,307","30,657,436","33,964,556","31,743,474","31,471,297","29,676,411","27,930,011","24,442,870","22,448,944","24,722,481","22,676,018","21,939,027","21,000,180",44.0,29.3,8.9
Hydroelectric,"1,696,258","1,056,341","1,390,966","1,071,704","881,608","1,170,663","969,358","1,131,815","1,424,606","1,396,112","947,412","1,182,353","1,270,707","1,391,152","1,490,114","1,669,793","840,374","973,563","649,614","620,073","1,210,984","939,569","1,339,167","917,654","1,070,830","1,247,208","1,017,844","1,012,074","1,261,363",0.8,2.0,1.8
Natural gas,"32,227,115","29,022,166","29,012,699","21,401,118","12,047,248","13,781,412","14,708,570","10,062,158","9,573,845","7,348,089","5,350,551","5,947,608","3,781,091","4,414,479","3,976,271","2,690,674","2,128,402","2,130,640","1,839,850","2,599,607","2,198,665","1,291,954","1,123,697","1,880,982","2,151,992","2,139,635","1,177,489","1,104,440","758,289",2.4,13.1,33.7
..Natural gas - CC,"28,555,405","26,674,719","25,649,593","18,491,223","10,035,004","11,636,077","13,125,703","8,702,014","6,578,140","6,367,466","4,237,475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,29.9
..Natural gas - GT,"2,927,574","1,936,701","2,563,144","2,640,264","1,578,975","1,976,460","1,367,771","1,166,700","2,664,365","824,583","892,189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.7,3.1
..Natural gas - IC,"1,682","1,879","3,756",675,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
..Natural gas - ST,"742,454","408,867","796,205","268,956","433,167","168,876","215,096","193,445","331,340","156,039","220,887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.8
Nuclear,"29,251,668","30,553,734","29,731,895","28,060,358","30,220,977","29,326,231","28,723,390","25,547,997","26,571,899","28,212,252","27,930,764","27,268,475","27,593,516","27,918,481","28,315,294","24,816,022","27,346,163","25,759,130","28,321,091","28,300,643","27,234,399","27,084,059","26,286,283","25,134,831","25,428,856","22,688,763","23,334,340","23,886,268","23,820,152",36.7,36.4,30.6
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Other biomass,"2,700","3,798","3,957","3,642","4,826","4,449","3,906","13,526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Petroleum,"692,307","308,867","382,310","850,925","935,487","225,736","234,305","394,399","1,033,926","738,411","903,428","1,653,940","662,100","3,809,135","4,664,410","4,982,314","3,454,714","4,854,800","2,408,600","3,035,028","2,654,660","857,789","683,363","1,119,524","2,373,888","2,157,896","1,422,824","2,036,478","1,194,150",3.1,1.4,0.7
..Petroleum - GT,"264,431","136,118","102,515","136,326","338,910","45,642","8,594","66,151","189,576","162,257","110,266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.3
..Petroleum - IC,"2,662","1,487","2,209","3,455","3,604","1,354","1,354","2,060","6,010","6,411","7,468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
