"","Year","Electric utilities","Coal","Hydroelectric","Natural gas","..Natural gas - CC","..Natural gas - GT","..Natural gas - IC","..Natural gas - ST","Nuclear","Other","Other biomass","Petroleum","..Petroleum - GT","..Petroleum - IC","..Petroleum - OTH","..Petroleum - ST","Pumped storage","Solar","..Solar- PV","Wood","IPP and CHP","Coal","Hydroelectric","Natural gas","..Natural gas - CC","..Natural gas - GT","..Natural gas - IC","..Natural gas - ST","Other","Other biomass","Other gas","Petroleum","..Petroleum - GT","..Petroleum - IC","..Petroleum - OTH","..Petroleum - ST","Solar","..Solar- PV","Wood","Total electric industry","Coal","Hydroelectric","Natural gas","..Natural gas - CC","..Natural gas - GT","..Natural gas - IC","..Natural gas - ST"
"X","
2018","72,376,443","8,452,786","1,696,258","32,227,115","28,555,405","2,927,574","1,682","742,454","29,251,668","0","2,700","692,307","264,431","2,662","125,049","300,164","-1,291,976","141,367","141,367","1,204,218","23,130,533","813,489","68,602","17,931,041","16,128,415","1,121,468","1,582","679,576","471,227","1,169,315","0","258,105","131,505","24,940","45,464","56,196","621,705","621,705","1,797,049","95,506,976","9,266,276","1,764,860","50,158,156","44,683,820","4,049,042","3,263","1,422,030"
"X.1","
2017","70,951,368","9,998,745","1,056,341","29,022,166","26,674,719","1,936,701","1,879","408,867","30,553,734","0","3,798","308,867","136,118","1,487","11,384","159,878","-1,277,795","109,229","109,229","1,176,283","19,465,983","727,678","60,014","15,484,922","14,298,874","583,187","1,356","601,504","213,322","903,606","0","147,258","78,641","24,346","5,044","39,228","203,992","203,992","1,725,191","90,417,351","10,726,422","1,116,355","44,507,088","40,973,592","2,519,889","3,235","1,010,372"
"X.2","
2016","76,224,379","15,605,426","1,390,966","29,012,699","25,649,593","2,563,144","3,756","796,205","29,731,895","0","3,957","382,310","102,515","2,209","14,258","263,328","-1,162,636","4,996","4,996","1,254,766","16,330,496","893,986","80,496","11,892,144","10,683,004","654,070","791","554,279","461,826","1,101,848","0","153,110","104,874","23,099","12,501","12,635","15,912","15,912","1,731,175","92,554,876","16,499,412","1,471,462","40,904,843","36,332,598","3,217,214","4,547","1,350,485"
"X.3","
2015","67,573,071","16,023,099","1,071,704","21,401,118","18,491,223","2,640,264","675","268,956","28,060,358","0","3,642","850,925","136,326","3,455","142,295","568,849","-1,036,382","0","0","1,198,607","16,838,521","1,208,327","86,724","11,883,098","10,943,323","447,697","0","492,077","461,553","1,099,390","0","256,910","151,714","26,127","63,996","15,072","0","0","1,842,520","84,411,592","17,231,426","1,158,428","33,284,216","29,434,546","3,087,961","675","761,034"
"X.4","
2014","62,966,914","19,043,496","881,608","12,047,248","10,035,004","1,578,975","102","433,167","30,220,977","0","4,826","935,487","338,910","3,604","155,518","437,455","-1,295,354","0","0","1,128,627","14,170,524","1,775,088","73,580","8,834,318","8,261,098","265,295","0","307,925","499,767","1,092,185","0","269,420","178,256","20,556","53,598","17,010","0","0","1,626,166","77,137,438","20,818,584","955,188","20,881,566","18,296,102","1,844,269","102","741,092"
"X.5","
2013","63,724,860","19,735,508","1,170,663","13,781,412","11,636,077","1,976,460","0","168,876","29,326,231","0","4,449","225,736","45,642","1,354","3,229","175,511","-1,189,000","0","0","669,861","13,171,706","1,424,994","83,007","8,869,755","8,464,914","139,614","0","265,227","474,767","955,276","0","87,552","42,259","7,669","3,119","34,506","0","0","1,276,356","76,896,565","21,160,501","1,253,670","22,651,167","20,100,991","2,116,074","0","434,102"
"X.6","
2012","56,188,401","12,573,273","969,358","14,708,570","13,125,703","1,367,771","0","215,096","28,723,390","0","3,906","234,305","8,594","1,354","9,128","215,229","-1,365,574","0","0","341,173","14,550,834","1,607,523","74,416","10,329,179","9,934,657","225,071","0","169,451","396,689","918,748","0","129,663","75,720","11,970","862","41,111","0","0","1,094,616","70,739,235","14,180,795","1,043,774","25,037,749","23,060,360","1,592,842","0","384,547"
"X.7","
2011","53,328,664","17,243,195","1,131,815","10,062,158","8,702,014","1,166,700","0","193,445","25,547,997","0","13,526","394,399","66,151","2,060","32,614","293,574","-1,469,539","0","0","405,112","13,342,195","2,637,918","78,574","8,270,215","8,004,709","169,198","0","96,307","470,239","776,112","0","108,247","32,535","5,182","23,438","47,092","0","0","1,000,891","66,670,859","19,881,113","1,210,389","18,332,373","16,706,723","1,335,898","0","289,752"
"X.8","
2010","58,902,054","21,365,585","1,424,606","9,573,845","6,578,140","2,664,365","0","331,340","26,571,899","0","0","1,033,926","189,576","6,010","22,486","815,854","-1,490,602","0","0","422,794","14,064,402","4,093,636","75,576","7,425,280","7,001,058","347,437","17","76,767","414,121","815,345","0","258,935","55,592","27,885","96,733","78,724","0","0","981,510","72,966,456","25,459,221","1,500,182","16,999,125","13,579,198","3,011,802","17","408,108"
"X.9","
2009","59,225,368","22,424,638","1,396,112","7,348,089","6,367,466","824,583","0","156,039","28,212,252","0","0","738,411","162,257","6,411","50,360","519,383","-1,334,709","0","0","440,576","10,856,698","3,174,650","82,518","4,853,295","4,530,885","259,441","12","62,958","420,042","709,203","0","349,250","31,251","15,696","212,045","90,258","0","0","1,267,740","70,082,066","25,599,288","1,478,630","12,201,384","10,898,352","1,084,024","12","218,997"
