Virginia Energy Consumption Estimates 2017
https://www.eia.gov/state/?sid=VA#tabs-1
16:46:44 GMT-0500 (Eastern Standard Time)
Source: Energy Information Administration, State Energy Data System
Category,Virginia Energy Consumption Estimates Trillion Btu
Coal,159.8
Natural Gas,596.7
Motor Gasoline excl. Ethanol,457.9
Distillate Fuel Oil,182.1
Jet Fuel,58.2
HGL,20.8
Residual Fuel,6.9
Other Petroleum,32.1
Nuclear Electric Power,319.6
Hydroelectric Power,10.3
Biomass,144
Other Renewables,5.7
Net Electricity Imports,0.1
Net Interstate Flow of Electricity,308.4
