"","Year","Sulfur_dioxide_(short_tons)","Coal","Natural_gas","Other","Petroleum","Total","Nitrogen_oxide_(short_tons)","Coal","Natural_gas","Other","Petroleum","Total","Carbon_dioxide_(thousand_metric_tons)","Coal","Natural_gas","Other","Petroleum","Total","Total_emission_rate_(lbs/MWh)","Sulfur_dioxide","Nitrogen_oxide","Carbon_dioxide"
"X.28",1990,NA,213816,2,11245,13399,238461,NA,117510,1499,4713,2974,126696,NA,26160,640,397,1600,28797,NA,9.1,4.8,1205
"X.27",1991,NA,226261,4,11395,20383,258043,NA,119375,1849,4943,4158,130324,NA,26947,983,541,2321,30791,NA,9.4,4.8,1238
"X.26",1992,NA,227184,6,12111,8446,247746,NA,122332,2331,5298,3317,133277,NA,28395,1428,579,2094,32496,NA,8.8,4.7,1269
"X.25",1993,NA,238627,12,12594,12066,263299,NA,135178,3698,5542,4187,148605,NA,31731,2319,529,2490,37069,NA,8.6,4.9,1332
"X.24",1994,NA,220087,13,13256,13759,247116,NA,123394,3770,4730,4479,136372,NA,29399,2455,520,2894,35268,NA,8,4.4,1250
"X.23",1995,NA,276636,14,15625,14682,306960,NA,132997,9032,10317,5322,157668,NA,31404,2868,532,1769,36573,NA,9.7,5,1277
"X.22",1996,NA,263005,11,16762,9078,288853,NA,121907,6973,11358,4841,145079,NA,35155,2252,733,1478,39618,NA,8.6,4.3,1303
"X.21",1997,NA,278805,6,15672,12041,306527,NA,124769,4907,10750,6999,147430,NA,35617,1482,733,2208,40041,NA,8.9,4.3,1286
"X.20",1998,NA,268063,12,16074,23479,307630,NA,121643,8290,10998,5507,146444,NA,36745,2407,758,2784,42694,NA,8.5,4.1,1301
"X.19",1999,NA,289507,13,14924,22469,326919,NA,106437,8567,11204,7094,133303,NA,37688,2713,767,3065,44234,NA,8.8,3.6,1317
"X.18",2000,NA,277674,12,15501,18945,312135,NA,102531,7664,8934,5264,124398,NA,43010,2554,361,2636,48561,NA,8.1,3.2,1384
"X.17",2001,NA,231117,12,15936,25067,271946,NA,92277,6058,14451,8611,118890,NA,39688,2272,781,4442,47183,NA,7.3,3.2,1401
"X.16",2002,NA,279910,8,19265,23269,321962,NA,112819,3859,18344,6455,137909,NA,40226,2931,884,3075,47115,NA,8.6,3.7,1382
"X.15",2003,NA,220539,9,13041,27526,261066,NA,69141,3062,9550,7243,86828,NA,38614,2356,918,4705,46592,NA,6.9,2.3,1361
"X.14",2004,NA,200877,12,13569,25134,239548,NA,59685,2823,9400,5491,75224,NA,38742,3154,1018,4397,47311,NA,6.1,1.9,1319
"X.13",2005,NA,223296,15,13887,20065,257220,NA,58506,3186,9854,3988,73265,NA,38418,5035,1046,3717,48216,NA,6.5,1.9,1344
"X.12",2006,NA,190542,11,15528,11292,217325,NA,53285,2118,9498,2059,64736,NA,36839,3680,1062,942,42523,NA,5.9,1.8,1280
"X.11",2007,NA,189547,17,14727,13231,217475,NA,56266,3091,10193,2935,70381,NA,38707,5253,967,2291,47218,NA,5.6,1.8,1326
"X.10",2008,NA,136906,18,14689,5325,156938,NA,47800,3282,8541,1976,61599,NA,34955,4518,849,1079,41402,NA,4.3,1.7,1253
"X.9",2009,NA,111861,20,13212,4577,129670,NA,30409,3241,8639,1100,43389,NA,28714,5528,851,1068,36161,NA,3.7,1.2,1135
"X.8",2010,NA,117386,44,10066,4591,132087,NA,37833,4672,9659,1640,53804,NA,29764,7912,833,1211,39719,NA,3.6,1.5,1198
"X.7",2011,NA,83949,77,9431,1713,95170,NA,33077,4932,9321,853,48183,NA,23224,8080,835,497,32637,NA,2.9,1.4,1077
"X.6",2012,NA,49857,60,10373,1095,61385,NA,21672,4764,12315,682,39433,NA,17099,10921,847,356,29223,NA,1.7,1.1,909
"X.5",2013,NA,56438,40,10712,887,68077,NA,21633,4284,13269,520,39706,NA,23564,9963,851,308,34686,NA,1.8,1,992
"X.4",2014,NA,55985,31,10457,2075,68548,NA,21485,4539,12804,1828,40656,NA,22508,9397,861,969,33734,NA,1.8,1.1,962
"X.3",2015,NA,22128,46,8465,3102,33741,NA,17251,6285,12677,1773,37986,NA,18451,14739,808,900,34898,NA,0.8,0.9,910
"X.2",2016,NA,16816,165,11313,1085,29379,NA,15776,5844,12166,1111,34897,NA,17585,17701,822,458,36566,NA,0.6,0.8,869
"X.1",2017,NA,8613,150,11568,527,20858,NA,10123,5743,11938,846,28650,NA,11584,18721,463,429,31195,NA,0.5,0.6,759
"X",2018,NA,9298,247,8604,1154,19303,NA,10265,5858,13613,1529,31265,NA,10458,21352,861,832,33504,NA,0.4,0.7,772
