"","Year","Capacity Factors","Nuclear","Natural gas - CC","Other, Biomass","Wood","Coal","Hydroelectric","Solar - PV","Natural gas - IC","Natural gas - GT","Natural gas - ST","Petroleum - ST","Petroleum - GT","Petroleum - IC","Other, not Biomass or Gas","Usage Factors","Pumped Storage","All Sources"
"X","2018 Time adjusted capacity (MW)","","3,568.0","7,648.4","314.3","578.1","3,780.0","866.0","373.4","1.3","4,150.4","1,072.0","1,576.0","624.5","144.3"," ","","3,241.0","27,937.8"
"X.1","
2018","","93.6","65.6","61.9","61.7","29.1","23.3","23.2","13.9","11.8","10.0","2.3","2.2","0.6"," ","","14.8"," "
"X.2","
2017","","97.8","63.1","42.1","59.9","33.1","14.7","26.8","11.9","7.8","6.7","1.4","1.4","0.3"," ","","13.6"," "
"X.3","
2016","","94.9","64.6","58.2","61.3","49.8","19.3","14.5","7.1","9.7","10.7","1.7","2.1","0.5"," ","","11.9"," "
"X.4","
2015","","89.8","62.5","58.1","63.4","40.9","15.3"," "," ","9.5","8.7","3.9","2.6","0.7"," ","","13.0"," "
"X.5","
2014","","96.7","54.2","60.1","60.7","43.0","12.6"," "," ","6.4","9.0","2.6","3.1","0.5","29.3","","14.9"," "
"X.6","
2013","","93.5","59.1","54.6","51.6","42.6","16.5"," "," ","6.3","13.4","0.9","0.9","0.2","24.0","","14.1"," "
"X.7","
2012","","91.8","66.2","49.8","59.4","27.9","13.7"," "," ","4.6","6.9","1.2","1.5","0.2"," ",""," "," "
"X.8","
2011","","82.8","51.2","48.6","42.2","39.4","16.0"," "," ","4.0","5.3","1.8","0.7","0.3"," ",""," "," "
"X.9","
2010","","86.6","46.3","48.1","48.4","50.1","19.8"," "," ","8.9","11.9","5.0","1.2","1.8"," ",""," "," "
"X.10","
2009","","94.6","37.8","46.0","66.2","49.8","23.6"," "," ","3.6","5.7","3.1","0.5","1.1"," ",""," "," "
"X.11","
2008","","93.4","26.8","51.0","71.1","61.7","17.8"," "," ","4.0","7.6","4.8","0.8","1.7"," ",""," "," "
