"","Year","Total_Electric_Industry","Coal","Hydroelectric","Natural_Gas","Nuclear","Other","Other_Biomass","Petroleum","Pumped_Storage","Solar","Wood"
"1",2018,29634.8,3780,866,14552,3568,0,314.3,2342.9,3241,392.5,578.1
"2",2017,27660.1,3778,866,12621.4,3568,0,314.3,2346.6,3241,346.7,578.1
"3",2016,26621.6,3800.4,866,11800.2,3568,0,314.3,2350,3241,103.6,578.1
"4",2015,25181.6,4379.3,866,9893.2,3568,0,312.7,2343.3,3241,0,578.1
"5",2014,26292.4,5541.9,866,9755,3568,96,306.1,2340.3,3241,0,578.1
"6",2013,24827.8,5554.1,866,8270.7,3581.3,96,303.4,2337.2,3241,0,578.1
"7",2012,24848.6,5976.3,866.2,8167.6,3562,0,303.4,2368.7,3241,0,363.4
"8",2011,24684.9,5848.1,866.2,8162.6,3539,0,294.6,2370,3241,0,363.4
"9",2010,24109,5867.9,866.2,7580.6,3501,0,289.7,2431.7,3241,0,330.9
"10",2009,23788,5777.2,715.9,7535.8,3404,0,277.7,2427.3,3241,0,409.1
"11",2008,23475.6,5773.4,676.7,7350.8,3404,0,269.3,2418.3,3161,0,422.1
"12",2007,22992,5794,675,6869,3404,0,254,2418,3161,0,418
"13",2006,22648,5774,671,6809,3432,0,170,2386,2997,0,410
"14",2005,22599,5783,672,6828,3432,0,168,2390,2917,0,409
"15",2004,22481,5795,782,6754,3440,0,168,2437,2700,0,404
"16",2003,21171,5733,780,5558,3467,0,168,2422,2638,0,404
"17",2002,20202,6117,757,4191,3467,0,168,2442,2645,0,414
"18",2001,20086,6137,758,3707,3467,561,168,2541,2345,0,402
"19",2000,19625,6385,762,3526,3467,206,219,2362,2345,0,354
"20",1999,18727,6205,759,2955,3392,206,210,2231,2345,0,424
"21",1998,18749,6221,764,2955,3392,206,212,2231,2345,0,424
"22",1997,18732,6249,761,2226,3392,129,218,3016,2345,0,396
"23",1996,18373,6218,762,2670,3392,129,218,2210,2345,0,429
"24",1995,17627,6376,763,2800,3392,0,163,1390,2345,0,399
"25",1994,17096,5111,786,2205,3349,0,163,2705,2345,0,433
"26",1993,17038,5111,787,2139,3349,0,159,2799,2345,0,349
"27",1992,16933,5130,781,1810,3349,257,153,2759,2345,0,349
"28",1991,15488,4672,782,833,3382,62,150,2912,2345,0,349
"29",1990,15065,4598,778,661,3382,62,147,2752,2345,0,340
