"Total energy consumed by the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"7,307","7,744","7,941","10,116","12,898","15,276","16,031","18,156","19,463","27,055","29,815","32,872","37,357","34,044","35,903","33,763","34,607","37,862","38,164","36,380","33,916","37,521","46,963","50,328","63,347","58,113","97,823","88,963","52,618","53,158","60,898","60,143","62,226","64,623","65,924","66,562","70,630","68,002","69,605","71,181","69,873","66,274","60,184","58,567","63,451","62,403","67,572","63,076","64,441","61,825","66,822","70,816","69,598","62,922","63,219","66,983","59,310","58,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"57,186","64,744","71,604","77,702","82,040","82,000","85,463","85,537","96,195","106,709","111,096","113,920","121,198","124,601","127,541","122,067","125,295","128,203","127,602","129,683","127,025","145,003","145,631","149,781","134,830","141,275","144,276","147,094","155,814","169,223","171,437","167,976","164,861","168,629","174,292","176,772","191,836","228,896","235,977","246,017","254,765","248,106","254,622","253,430","262,193","260,555","272,925","276,430","271,313","257,057","270,519","257,067","244,858","256,785","262,497","263,457","262,633","254,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"36,006","36,795","41,057","44,315","47,870","53,889","61,254","66,520","71,836","77,209","79,483","73,241","78,970","84,394","83,434","96,949","99,555","103,542","105,090","102,805","99,302","87,735","91,650","108,323","102,874","100,622","94,257","95,914","101,167","106,051","105,744","108,180","105,289","116,566","116,908","121,912","125,563","125,908","133,493","135,167","147,038","151,037","152,404","154,554","154,373","163,710","158,925","162,806","166,967","164,581","174,511","174,604","170,102","176,549","182,202","179,155","175,092","173,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"67,122","50,833","48,940","53,383","65,190","58,323","59,715","69,120","71,954","79,633","82,050","92,437","102,026","113,228","120,152","122,328","132,618","138,813","135,140","133,633","138,144","136,449","138,109","138,340","154,916","169,409","174,402","191,764","197,504","212,424","211,750","205,541","211,110","213,722","226,008","237,100","252,973","261,204","277,199","287,674","305,909","304,241","303,421","302,517","306,130","316,021","325,175","341,414","342,244","332,905","333,914","347,514","343,690","350,035","342,287","347,477","351,533","355,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"435,911","488,193","514,602","532,666","551,289","577,322","623,839","644,067","689,567","718,320","771,607","830,984","854,486","878,226","845,078","971,642","979,844","995,988","1,005,974","1,051,824","1,085,549","1,132,333","1,085,887","1,005,167","1,070,308","1,079,857","1,073,001","1,135,265","1,201,208","1,275,834","1,312,679","1,304,557","1,290,974","1,241,311","1,212,749","1,257,945","1,251,761","1,305,597","1,437,967","1,365,297","1,365,760","1,459,587","1,474,444","1,442,269","1,556,263","1,491,344","1,540,949","1,536,055","1,572,567","1,514,184","1,510,406","1,538,314","1,490,098","1,425,067","1,432,703","1,462,756","1,474,980","1,473,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"56,584","60,042","64,319","63,921","73,228","77,240","84,663","84,631","98,648","108,270","118,104","126,792","135,041","145,134","145,437","146,166","140,407","140,775","145,680","152,522","155,095","158,025","185,130","193,826","208,942","212,908","203,649","208,728","222,722","232,424","236,944","247,911","244,690","254,526","233,132","237,338","251,800","253,509","261,205","272,844","283,770","289,872","299,694","290,616","284,990","286,727","287,048","293,354","302,337","297,444","287,496","287,990","277,651","286,746","284,107","290,564","289,926","290,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"63,357","64,963","66,976","69,887","71,355","73,537","77,553","81,609","89,937","94,930","104,561","109,892","118,187","122,773","118,728","117,180","124,977","127,583","131,486","136,733","129,788","134,351","137,538","147,582","155,963","159,998","164,010","168,502","173,079","187,991","182,835","182,253","190,820","186,397","194,440","191,423","206,648","209,374","211,263","216,300","228,687","214,437","209,317","225,516","207,717","202,739","190,943","211,813","195,688","187,056","190,638","184,351","183,353","190,340","192,330","199,411","189,645","188,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"32,307","30,581","32,797","34,786","41,069","54,583","56,990","66,197","67,158","70,499","74,778","72,373","67,079","66,544","55,881","52,455","51,717","49,657","49,924","47,846","48,712","47,168","52,362","59,120","72,140","70,490","76,153","77,323","75,499","79,728","82,402","86,568","86,555","90,462","120,458","122,088","118,945","117,916","117,603","119,164","123,660","123,712","125,669","120,515","126,495","129,747","123,672","131,765","127,418","129,981","124,868","119,656","112,064","111,449","112,648","108,553","107,962","104,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"20,756","18,873","19,993","21,966","21,961","25,396","26,770","23,669","24,736","27,719","29,760","30,800","32,673","35,288","29,374","31,141","32,981","34,640","32,072","37,854","52,323","37,175","31,681","25,055","26,965","26,580","27,844","30,753","32,958","34,917","38,421","39,778","40,511","40,670","39,685","41,874","45,032","47,400","47,030","49,356","58,644","52,126","58,209","57,033","57,419","59,665","58,167","60,347","61,623","62,975","63,077","59,093","56,839","56,942","57,866","57,364","56,267","56,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"106,831","113,395","129,151","138,411","152,628","158,470","167,448","191,561","206,270","231,914","261,514","281,948","304,049","332,834","345,009","341,696","364,386","383,087","386,709","391,061","391,065","428,365","431,009","465,441","498,202","567,137","597,376","616,546","646,586","694,232","730,614","741,131","740,685","740,913","753,603","787,785","806,126","825,632","865,958","888,750","936,822","940,430","982,663","981,066","1,007,512","1,014,577","1,017,900","1,040,386","1,034,342","1,007,194","990,078","969,582","957,082","968,454","975,609","1,013,873","1,012,822","991,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
