"Total energy consumed by the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"16,798","21,748","25,143","25,950","25,841","23,107","33,820","35,548","36,499","51,376","50,964","53,474","64,134","63,070","59,645","82,597","90,682","118,122","140,893","139,105","137,435","106,071","219,607","230,970","230,994","215,539","211,960","234,311","276,499","303,443","306,883","340,479","366,172","356,750","350,616","413,570","429,716","403,305","413,864","394,489","401,675","409,960","411,348","402,842","389,872","418,115","353,673","356,533","317,535","334,430","326,937","331,420","339,183","334,286","330,415","331,207","329,286","333,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"508,500","473,290","497,504","505,064","558,585","614,582","642,039","681,691","720,272","774,557","792,298","761,641","816,426","820,388","816,867","795,894","803,954","835,065","836,049","916,739","895,556","854,608","752,596","706,991","793,320","768,192","727,345","766,314","818,320","804,679","792,492","802,210","862,574","897,895","964,871","1,001,394","1,007,715","964,889","970,361","998,090","997,515","856,787","864,721","884,546","949,029","930,648","940,812","915,650","876,159","711,194","774,119","804,046","835,419","850,449","861,116","823,761","812,882","822,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"204,729","199,953","216,451","230,995","255,283","255,234","257,650","277,382","285,240","307,716","318,746","315,745","325,363","372,635","358,485","311,741","354,882","375,737","370,008","393,956","379,537","377,534","338,301","333,947","332,911","332,572","304,023","264,910","326,034","374,559","351,139","331,747","373,961","401,717","421,007","450,841","453,569","469,646","468,605","466,686","477,869","449,136","458,443","445,750","437,200","432,391","442,132","440,983","421,560","365,057","410,691","421,768","405,044","412,207","412,795","377,696","380,620","396,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"50,359","81,565","97,937","105,519","100,297","119,098","131,975","119,078","128,483","143,577","155,464","158,771","178,702","190,491","198,443","177,995","190,047","207,126","206,989","231,076","196,668","231,894","191,774","190,156","197,716","194,599","197,047","169,574","184,572","193,835","186,513","189,393","203,134","196,268","207,808","227,483","234,113","239,161","232,892","232,133","221,615","210,192","200,715","194,629","220,682","217,238","222,790","221,075","232,774","197,009","208,280","224,978","220,083","213,655","236,523","236,215","241,033","229,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,193,589","1,209,024","1,214,818","1,325,160","1,454,644","1,475,421","1,558,212","1,610,012","1,697,912","1,772,204","1,848,333","1,840,387","1,892,588","1,991,904","1,922,886","1,884,711","1,938,348","2,004,393","1,897,343","2,030,621","1,864,716","1,661,176","1,526,436","1,606,882","1,860,967","1,852,772","1,762,901","1,916,019","1,852,544","1,906,598","1,927,305","1,973,677","1,980,559","1,917,642","1,938,522","1,896,395","1,937,454","2,071,477","2,091,112","2,115,400","2,101,664","2,098,775","1,962,351","1,937,697","2,006,031","1,940,537","1,916,705","1,894,783","1,846,491","1,713,376","1,740,110","1,784,566","1,747,486","1,882,363","1,859,180","1,849,740","1,852,097","1,817,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"171,462","189,742","180,950","180,415","184,883","185,681","176,595","192,775","215,411","215,265","218,700","206,860","231,971","244,793","239,721","234,177","249,850","260,655","253,259","257,692","251,908","219,529","180,324","165,183","184,055","171,756","181,566","179,563","196,685","205,152","210,272","230,713","234,179","250,941","274,678","272,469","285,874","280,554","306,146","279,295","308,062","374,458","352,220","367,334","372,198","382,734","391,414","405,137","412,316","414,084","455,489","421,232","421,118","415,121","431,765","440,335","399,381","406,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"170,379","168,945","180,334","181,031","202,315","194,943","222,567","221,316","214,011","211,376","205,463","183,354","188,218","202,749","184,573","171,009","196,591","198,436","208,884","180,017","181,473","149,766","149,067","141,760","149,915","151,202","145,419","150,500","149,218","137,465","130,770","134,208","135,674","133,303","130,331","130,474","132,946","129,229","119,952","120,403","128,607","114,144","107,834","122,166","116,533","116,584","109,877","107,393","81,061","87,154","88,605","86,012","83,336","88,739","85,914","78,386","78,891","79,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"34,470","33,890","33,092","31,234","34,236","43,985","51,565","54,130","50,503","60,100","64,259","61,464","55,759","54,930","44,114","42,722","42,508","45,483","43,420","44,287","43,056","42,159","40,550","41,218","27,944","29,245","29,947","30,461","31,431","33,724","35,916","36,522","35,677","35,779","3,805","3,638","3,448","3,722","3,507","4,038","3,765","4,318","4,384","4,650","4,403","3,913","3,739","4,197","3,705","7,316","7,274","6,816","7,015","7,151","7,260","6,959","5,816","5,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"66,475","62,451","72,557","78,026","79,214","85,763","90,115","86,048","95,068","102,549","101,519","101,335","105,624","113,670","103,912","91,848","95,055","92,562","96,073","105,215","94,373","72,291","70,164","80,435","90,520","86,247","85,791","84,020","86,184","89,365","103,257","89,873","104,159","105,699","106,416","107,513","105,683","106,788","105,096","109,733","112,761","113,223","113,907","109,937","95,481","98,635","92,401","90,639","90,134","58,907","50,469","85,081","92,271","90,726","87,479","89,072","87,629","83,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"225,674","239,313","262,710","272,756","284,752","309,445","328,754","317,977","337,331","343,748","367,070","382,573","393,525","432,871","399,324","400,889","449,938","494,420","516,132","559,793","568,708","499,047","428,612","438,292","471,241","471,866","449,811","445,842","485,507","544,632","531,617","524,593","547,804","576,778","581,798","596,725","614,256","585,614","573,888","578,823","556,805","556,969","528,714","541,605","527,092","531,991","548,358","525,451","518,179","466,622","501,522","478,130","473,808","479,477","466,700","491,766","492,275","493,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"262,469","266,590","293,886","306,865","334,512","376,959","408,572","423,628","443,792","459,757","463,592","481,915","522,059","564,755","541,219","497,523","518,256","523,959","568,943","619,157","596,943","579,073","555,691","588,415","641,199","682,269","641,661","663,183","689,334","758,876","791,646","783,529","797,778","807,674","829,296","885,365","923,748","937,163","904,868","907,610","911,002","844,683","931,083","883,482","918,815","885,770","881,538","853,344","777,410","707,134","758,777","754,956","726,205","752,794","781,870","779,426","772,342","758,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"20,617","26,809","28,697","29,856","32,352","34,680","35,776","38,672","38,921","40,959","43,623","43,568","49,201","49,904","49,811","50,344","51,693","53,304","53,047","59,091","74,539","73,582","79,444","66,003","65,001","67,345","76,867","79,590","88,781","93,794","98,939","89,025","93,630","92,241","93,640","92,871","95,447","88,664","80,641","78,028","77,944","69,465","70,728","68,832","68,904","72,369","71,564","69,038","65,843","69,087","68,068","67,545","65,113","65,415","64,554","64,231","62,512","59,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
