Renewable Energy All Sectors Generating Capacity Solar SERC Reliability Corporation per Virginia-Carolina AEO2015 AEO2016
https://www.eia.gov/opendata/qb.php?sdid=AEO.2016.AEO2015REF.CAP_GEN_NA_NA_SLR_NA_SERCVC_GW.A
16:33:55 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Series ID: AEO.2016.AEO2015REF.CAP_GEN_NA_NA_SLR_NA_SERCVC_GW.A GW
2040,8.08493
2039,7.537616
2038,6.264631
2037,5.144583
2036,4.94518
2035,4.444741
2034,4.179455
2033,3.864908
2032,3.589334
2031,3.284158
2030,3.024089
2029,2.761977
2028,2.609184
2027,2.469704
2026,2.30458
2025,2.146119
2024,2.042328
2023,1.931902
2022,1.872148
2021,1.805855
2020,1.773642
2019,1.747861
2018,1.735221
2017,1.698045
2016,1.593116
2015,1.302736
2014,0.795485
