Retail sales of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=00000001&endsec=vg&linechart=ELEC.SALES.VA-ALL.M&columnchart=ELEC.SALES.VA-ALL.M&map=ELEC.SALES.VA-ALL.M&freq=M&start=200101&end=202001&ctype=linechart&ltype=sourcekey&rtype=s&pin=&maptype=0&rse=0
16:00:33 GMT+0800 (China Standard Time)
Source: U.S. Energy Information Administration
Month,Virginia : all sectors million kilowatthours
Jan 2020,9368.13041
Dec 2019,9208.89231
Dec 2019,
Dec 2019,
Nov 2019,10037.76617
Oct 2019,9290.97225
Oct 2019,
Oct 2019,
Sep 2019,8756.86966
Aug 2019,9874.4013
Jul 2019,10911.84694
Jul 2019,
Jul 2019,
Jun 2019,11527.48936
May 2019,9903.13307
May 2019,
May 2019,
Apr 2019,9146.99226
Mar 2019,7960.41534
Mar 2019,
Mar 2019,
Feb 2019,9466.18351
Jan 2019,9147.9341
Dec 2018,10925.09058
Dec 2018,
Dec 2018,
Nov 2018,10083.5583
Oct 2018,9235.23704
Oct 2018,
Oct 2018,
Sep 2018,9029.03787
Aug 2018,10099.1765
Jul 2018,10970.05022
Jul 2018,
Jul 2018,
Jun 2018,10881.10318
May 2018,10116.26326
May 2018,
May 2018,
Apr 2018,9324.5766
Mar 2018,8199.9074
Mar 2018,
Mar 2018,
Feb 2018,9666.18054
Jan 2018,8837.22519
Dec 2017,11724.03193
Dec 2017,
Dec 2017,
Nov 2017,10283.66583
Oct 2017,8615.04195
Oct 2017,
Oct 2017,
Sep 2017,8444.77218
Aug 2017,8810.74848
Jul 2017,10409.55506
Jul 2017,
Jul 2017,
Jun 2017,11044.49057
May 2017,9679.68268
May 2017,
May 2017,
Apr 2017,8502.44116
Mar 2017,7905.53946
Mar 2017,
Mar 2017,
Feb 2017,9372.32784
Jan 2017,8556.72727
Dec 2016,9904.73954
Dec 2016,
Dec 2016,
Nov 2016,9897.50499
Oct 2016,8227.09511
Oct 2016,
Oct 2016,
Sep 2016,8241.52607
Aug 2016,9429.08811
Jul 2016,11265.92421
Jul 2016,
Jul 2016,
Jun 2016,11206.16184
May 2016,9337.94526
May 2016,
May 2016,
Apr 2016,8151.65232
Mar 2016,7785.32864
Mar 2016,
Mar 2016,
Feb 2016,8406.29312
Jan 2016,9600.38881
Dec 2015,10731.75654
Dec 2015,
Dec 2015,
Nov 2015,8674.75054
Oct 2015,7813.44007
Oct 2015,
Oct 2015,
Sep 2015,8179.79727
Aug 2015,9057.77
Jul 2015,10289.85063
Jul 2015,
Jul 2015,
Jun 2015,10626.78059
May 2015,9946.92076
May 2015,
May 2015,
Apr 2015,8833.36038
Mar 2015,7651.42191
Mar 2015,
Mar 2015,
Feb 2015,9434.95236
Jan 2015,10659.19043
Dec 2014,10840.81005
Dec 2014,
Dec 2014,
Nov 2014,9792.78421
Oct 2014,8939.42722
Oct 2014,
Oct 2014,
Sep 2014,8185.20273
Aug 2014,8906.08687
Jul 2014,9797.99474
Jul 2014,
Jul 2014,
Jun 2014,10226.55216
May 2014,9537.10693
May 2014,
May 2014,
Apr 2014,8402.49048
Mar 2014,7753.93608
Mar 2014,
Mar 2014,
Feb 2014,9675.50649
Jan 2014,9554.44684
Dec 2013,11326.84624
Dec 2013,
Dec 2013,
Nov 2013,9823.11812
Oct 2013,8776.06709
Oct 2013,
Oct 2013,
Sep 2013,8359.93168
Aug 2013,8720.27058
Jul 2013,9902.00828
Jul 2013,
Jul 2013,
Jun 2013,10698.24785
May 2013,9358.56801
May 2013,
May 2013,
Apr 2013,8261.60963
Mar 2013,7878.68397
Mar 2013,
Mar 2013,
Feb 2013,9505.68736
Jan 2013,9280.78584
Dec 2012,9946.84861
Dec 2012,
Dec 2012,
Nov 2012,9106.90778
Oct 2012,8559.06344
Oct 2012,
Oct 2012,
Sep 2012,8067.1425
Aug 2012,8696.01395
Jul 2012,10395.23511
Jul 2012,
Jul 2012,
Jun 2012,10999.89774
May 2012,9241.79678
May 2012,
May 2012,
Apr 2012,8582.93059
Mar 2012,7608.88966
Mar 2012,
Mar 2012,
Feb 2012,8085.72569
Jan 2012,8734.20971
Dec 2011,9717.17207
Dec 2011,
Dec 2011,
Nov 2011,9056.44834
Oct 2011,7931.61124
Oct 2011,
