"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"61,433","72,173","78,812","80,788","85,067","87,782","102,696","115,172","122,533","156,631","182,039","200,962","214,377","196,965","201,488","232,172","254,649","293,489","324,010","299,774","295,745","279,661","409,057","437,627","482,889","474,429","504,252","499,211","521,398","576,192","584,082","602,660","627,237","623,613","623,042","704,062","718,749","708,741","723,206","725,331","742,061","735,738","732,897","733,462","775,000","797,659","746,273","722,978","650,286","639,551","655,575","655,820","651,177","618,287","605,250","622,786","605,930","608,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"866,594","831,311","881,239","913,155","979,212","1,044,616","1,088,204","1,138,573","1,246,669","1,343,138","1,393,497","1,384,940","1,478,039","1,527,209","1,547,657","1,515,130","1,551,806","1,623,443","1,638,359","1,648,767","1,644,874","1,604,035","1,499,050","1,445,946","1,544,598","1,519,675","1,504,733","1,582,639","1,651,726","1,683,173","1,665,451","1,682,843","1,753,322","1,805,267","1,897,364","1,971,541","2,004,503","1,972,007","2,017,820","2,060,734","2,110,818","1,917,019","1,977,985","1,969,758","2,083,052","2,064,521","2,102,014","2,085,235","2,002,425","1,800,022","1,942,109","1,916,766","1,890,045","1,933,718","1,970,357","1,923,918","1,928,825","1,900,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"425,974","431,586","456,788","484,672","527,123","528,740","566,110","596,737","635,396","681,052","708,904","700,736","744,634","820,083","798,333","785,659","840,830","886,292","887,040","872,687","859,238","821,800","792,462","796,587","799,005","789,513","759,564","736,170","817,720","882,855","855,785","845,361","874,311","948,491","979,356","1,030,171","1,047,838","1,067,028","1,087,099","1,104,381","1,144,789","1,099,774","1,122,195","1,103,975","1,095,132","1,118,423","1,114,543","1,128,237","1,109,695","1,041,554","1,126,984","1,129,108","1,072,603","1,104,570","1,121,882","1,062,224","1,054,180","1,057,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"282,993","304,835","324,913","348,302","369,663","375,200","403,460","414,501","456,156","498,192","520,401","554,212","616,452","670,117","676,309","660,004","691,884","738,889","747,985","786,479","754,491","787,920","746,494","758,000","802,626","843,102","852,973","865,824","906,415","943,115","938,852","944,604","973,001","987,611","1,041,885","1,078,262","1,144,457","1,168,472","1,222,111","1,263,667","1,310,640","1,320,938","1,314,854","1,333,910","1,384,481","1,425,513","1,471,166","1,497,716","1,465,317","1,379,971","1,383,847","1,424,223","1,394,090","1,411,591","1,420,245","1,442,394","1,473,676","1,475,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"3,449,919","3,609,108","3,724,117","3,923,736","4,219,633","4,385,719","4,645,217","4,841,003","5,115,122","5,356,783","5,499,139","5,747,656","5,872,011","6,047,069","5,816,324","6,032,845","6,186,312","6,361,466","6,472,696","6,727,621","6,540,472","6,332,205","6,076,050","6,092,316","6,533,180","6,601,489","6,501,121","6,938,475","7,143,783","7,420,327","7,443,750","7,342,269","7,308,211","7,146,526","7,273,603","7,297,478","7,422,343","7,538,784","7,831,111","7,852,568","7,921,270","7,955,161","8,008,105","7,892,261","8,260,248","8,166,058","8,289,269","8,260,040","8,075,576","7,774,309","7,760,676","7,768,794","7,549,440","7,638,003","7,584,837","7,672,710","7,819,232","7,881,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"424,556","461,749","468,348","465,929","498,054","508,687","531,922","555,487","622,770","648,877","677,623","691,909","756,325","801,930","787,106","784,438","818,799","835,096","850,246","856,031","838,088","816,311","833,092","831,430","867,717","869,749","859,444","866,162","899,364","915,127","932,807","983,584","983,800","1,050,950","1,052,369","1,077,829","1,127,851","1,124,639","1,169,337","1,188,948","1,250,523","1,352,595","1,352,726","1,353,967","1,381,594","1,415,604","1,431,970","1,483,728","1,487,542","1,465,399","1,515,571","1,472,721","1,441,405","1,468,349","1,482,807","1,490,556","1,453,002","1,462,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"507,999","518,130","536,644","545,224","563,507","569,505","609,289","624,114","648,770","667,657","693,930","682,588","717,611","743,064","714,126","689,513","742,109","748,110","768,737","755,692","728,226","695,795","696,739","688,418","715,073","723,070","739,744","763,522","795,471","811,311","768,226","767,326","800,838","789,110","790,736","773,815","812,821","803,070","782,381","825,476","864,592","829,761","815,941","894,921","907,520","863,719","810,221","841,984","774,576","766,416","767,341","740,997","725,747","754,160","752,232","756,544","724,506","726,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"119,871","118,175","120,458","121,016","132,268","159,170","169,525","182,216","181,890","195,629","205,891","199,397","188,830","193,442","171,284","163,161","164,436","163,353","160,278","152,431","153,262","149,271","163,811","162,575","167,024","165,934","174,696","174,233","174,976","180,533","181,020","187,140","186,771","193,377","188,706","190,966","188,509","185,242","181,604","185,703","192,565","188,715","192,666","189,118","196,856","196,004","182,510","194,920","186,833","195,103","190,334","183,642","172,813","174,775","179,278","178,479","174,224","167,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"156,406","150,335","161,918","172,781","173,156","184,269","192,519","187,575","206,901","219,454","219,722","222,353","232,526","246,392","228,887","218,797","229,178","227,666","226,261","244,675","242,340","195,218","186,552","197,917","220,487","214,953","217,072","227,480","234,133","241,618","255,404","253,279","264,211","268,583","263,874","265,066","275,689","276,148","273,673","286,866","305,090","292,481","308,812","303,838","289,790","302,444","288,565","293,707","291,534","259,441","250,321","272,754","273,643","274,261","274,339","277,858","273,060","269,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"809,559","848,703","949,391","994,376","1,049,548","1,111,530","1,180,231","1,223,737","1,349,462","1,453,793","1,577,450","1,674,133","1,804,005","1,995,319","1,929,045","1,939,837","2,062,020","2,217,477","2,327,321","2,422,499","2,511,917","2,482,043","2,402,137","2,457,345","2,551,259","2,698,976","2,781,956","2,870,556","3,042,056","3,248,530","3,280,693","3,245,706","3,307,780","3,337,130","3,458,501","3,601,062","3,689,160","3,709,379","3,838,316","3,889,381","4,044,221","4,032,179","4,146,009","4,160,180","4,313,246","4,379,188","4,433,346","4,416,962","4,265,319","4,115,011","4,277,598","4,129,153","4,013,772","4,059,259","4,096,202","4,245,434","4,227,568","4,208,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
