"Total energy consumed by the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"27,139","31,895","34,182","32,387","32,246","34,379","36,233","43,862","47,177","56,517","76,386","85,018","83,425","71,354","76,803","79,665","89,123","94,045","97,936","85,842","89,804","101,238","102,239","115,944","142,997","153,931","150,698","133,896","150,456","173,382","168,892","156,413","151,927","154,297","157,266","173,607","167,528","188,588","192,174","207,434","219,733","205,457","209,339","219,243","265,801","263,620","265,470","249,625","214,641","189,761","209,562","199,644","187,800","172,271","163,792","171,458","166,445","163,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"176,015","172,023","179,802","189,395","190,545","200,727","206,854","216,031","242,554","255,625","268,489","281,247","300,827","327,548","350,726","363,127","373,155","395,543","405,416","353,042","349,881","342,116","333,176","324,451","337,698","334,813","349,194","374,883","377,985","401,324","397,799","406,124","417,482","413,632","431,784","454,692","444,370","439,699","447,984","453,914","472,549","445,420","472,487","458,024","493,103","489,301","495,454","498,675","466,865","458,995","478,170","478,047","471,563","468,198","467,892","487,470","512,052","500,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"104,652","114,214","116,715","123,586","130,214","129,593","136,348","139,183","153,822","159,784","166,549","173,379","193,085","209,852","210,118","209,528","216,054","222,603","229,577","200,014","204,275","208,967","208,325","195,411","207,483","203,444","207,724","216,907","226,684","233,710","228,101","229,427","227,667","238,191","255,166","260,424","265,553","273,172","275,696","293,044","293,838","277,419","285,320","285,231","288,153","288,549","288,220","291,971","284,574","285,128","287,908","285,316","275,491","274,774","280,095","276,801","284,875","285,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"116,689","121,239","129,736","136,740","143,720","139,441","148,689","159,735","183,623","192,910","194,132","204,293","225,168","243,872","233,258","230,139","235,052","253,262","267,033","274,217","265,931","269,191","261,440","263,390","279,869","293,447","299,713","312,326","322,840","322,219","325,563","332,408","336,940","352,581","366,258","372,801","394,105","394,605","424,601","447,923","459,904","475,170","485,220","500,070","510,199","532,673","549,147","541,214","504,851","476,219","465,006","460,347","451,556","458,396","463,479","473,237","489,451","489,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,224,448","1,292,718","1,316,805","1,354,256","1,421,236","1,491,493","1,592,738","1,654,402","1,779,333","1,829,888","1,832,707","1,909,144","1,932,085","1,987,135","1,899,639","1,955,901","2,065,541","2,207,003","2,373,098","2,354,473","2,363,837","2,345,832","2,230,899","2,253,957","2,373,953","2,364,497","2,447,497","2,578,470","2,730,174","2,817,092","2,834,524","2,691,435","2,681,193","2,630,809","2,752,697","2,817,129","2,866,177","2,799,948","2,807,938","2,869,808","3,018,015","2,967,467","3,130,917","3,041,631","3,194,208","3,280,160","3,328,387","3,354,828","3,144,614","3,062,794","3,043,522","2,945,352","2,873,992","2,894,207","2,937,935","3,012,471","3,112,429","3,174,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"104,450","114,878","122,860","129,258","133,723","138,618","147,575","154,378","172,368","182,623","195,193","206,248","224,073","234,426","231,020","237,340","250,996","262,260","279,228","269,764","251,120","249,246","259,137","255,521","266,929","277,566","278,417","281,120","272,773","266,101","271,483","273,879","278,016","303,181","308,186","319,505","328,227","326,348","340,749","361,723","366,109","386,382","383,274","378,036","416,492","422,997","432,082","441,875","424,960","414,292","420,271","409,237","407,686","403,115","413,601","412,279","415,388","422,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"116,898","125,496","130,768","134,750","137,397","140,533","150,121","155,282","168,490","174,636","182,566","184,357","194,609","201,251","198,339","196,470","201,295","204,071","205,676","194,654","185,174","181,361","186,080","187,348","195,062","196,759","200,195","209,097","216,609","218,201","205,529","204,102","205,609","206,060","205,590","201,738","213,178","213,989","216,761","235,201","227,972","237,673","236,676","248,598","284,559","262,456","256,576","257,149","242,672","239,024","236,667","232,213","226,341","227,192","225,872","226,988","229,270","229,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,"28,823","29,581","29,525","29,602","31,091","33,820","33,780","32,459","32,904","32,675","32,848","33,280","33,608","38,665","39,736","37,069","38,019","37,639","35,172","30,307","27,391","29,319","37,791","29,066","28,194","28,202","30,415","28,683","29,823","29,281","27,389","27,393","27,693","28,069","27,317","27,123","26,229","26,698","25,962","26,585","27,768","25,872","24,583","25,327","26,900","23,380","21,371","21,273","18,872","19,919","19,202","21,212","19,114","19,420","20,903","20,532","21,237","19,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"43,735","44,020","41,960","42,957","43,653","43,432","44,193","45,334","51,755","52,631","50,326","50,851","53,261","56,942","56,886","55,048","57,596","56,927","54,928","52,434","53,979","51,388","49,564","55,479","57,524","56,930","60,237","65,275","64,373","65,685","62,955","70,337","65,057","67,786","63,155","59,981","66,267","64,816","65,432","67,935","70,445","65,427","68,664","67,452","68,850","72,652","74,402","74,836","71,188","68,869","64,322","60,672","62,511","61,699","62,382","65,757","68,706","69,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"348,001","358,850","407,087","415,833","432,389","456,712","473,137","495,399","548,917","582,377","608,352","641,555","706,248","772,004","738,593","747,689","777,288","833,098","876,871","932,217","950,588","955,122","937,880","941,159","926,847","957,710","1,008,847","1,066,924","1,129,029","1,139,593","1,137,419","1,077,906","1,113,434","1,100,340","1,179,538","1,211,335","1,221,302","1,264,802","1,284,392","1,325,484","1,404,066","1,383,832","1,415,490","1,398,496","1,546,505","1,589,910","1,621,807","1,596,199","1,495,729","1,418,225","1,514,210","1,489,955","1,454,811","1,464,071","1,476,823","1,532,350","1,517,340","1,548,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"208,600","208,150","225,398","239,176","249,133","257,459","282,715","317,508","352,836","376,949","400,637","432,077","461,433","508,272","488,267","487,288","508,176","528,643","550,247","569,714","549,575","541,833","541,879","560,980","583,690","590,637","621,820","662,463","694,440","674,415","682,499","665,019","668,815","741,558","753,133","789,882","834,757","803,003","830,768","859,992","859,660","858,312","860,621","887,881","924,930","965,733","949,386","924,795","865,148","928,478","950,981","928,006","841,752","820,988","786,806","827,578","793,742","844,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"61,778","74,032","66,104","69,466","74,849","78,979","91,537","105,098","122,002","125,141","125,344","138,833","136,476","140,854","128,660","130,543","131,684","141,346","144,630","156,359","146,713","124,102","102,196","117,875","129,351","142,888","127,072","124,138","140,944","154,497","154,545","151,201","144,127","130,086","139,865","138,041","121,533","117,181","114,518","122,989","125,096","131,913","140,049","162,790","171,898","179,069","181,193","194,213","136,311","132,818","136,265","144,373","142,163","141,614","142,218","145,704","146,112","146,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"151,001","147,507","153,878","159,082","161,376","161,744","171,703","183,403","196,338","206,896","210,247","230,011","238,881","256,476","246,911","248,508","257,384","261,075","260,059","259,122","238,037","226,744","231,164","229,299","228,259","222,333","218,170","228,123","235,332","237,178","235,625","228,184","226,937","231,808","247,614","256,890","272,661","266,370","275,603","274,154","270,870","269,707","278,469","281,548","296,253","300,575","306,920","312,303","305,267","298,535","302,073","305,489","292,040","297,563","308,142","299,217","315,883","299,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"42,448","41,866","44,468","43,894","45,479","49,550","53,667","54,383","56,019","60,261","65,806","68,285","73,323","75,193","76,433","79,098","84,321","88,129","93,007","99,686","83,315","76,720","75,113","74,453","77,642","79,813","80,510","82,283","84,336","88,615","90,874","88,787","89,674","100,692","103,105","110,452","112,208","114,869","117,181","123,440","124,232","121,404","123,253","117,133","122,151","123,117","131,126","135,418","123,960","122,787","133,716","129,250","131,028","135,107","136,224","151,004","157,822","158,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
