"Table 4. Electric power industry capacity by primary energy source, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2018
Electric utilities,"23,975.4","22,371.2","22,327.5","20,928.1","22,061.5","20,601.1","20,626.1","19,999.0","19,429.5","19,130.9","18,823.7","18,372.0","18,162.0","18,087.0","17,547.0","17,045.0","15,817.0","15,761.0","15,608.0","15,312.0","15,316.0","15,293.0","14,764.0","14,300.0","13,764.0","14,055.0","14,020.0","13,652.0","13,661.0",79.5,80.6,80.9
Coal,"3,214.0","3,214.0","3,214.0","3,674.0","4,811.0","4,811.0","5,205.0","4,600.5","4,594.0","4,587.0","4,587.0","4,605.0","4,586.0","4,586.0","4,468.0","4,405.0","4,789.0","4,784.0","4,796.0","5,099.0","5,099.0","5,099.0","5,099.0","5,451.0","4,217.0","4,217.0","4,217.0","4,210.0","4,225.0",24.4,19.1,10.8
Hydroelectric,844.6,844.6,844.6,844.6,844.6,844.6,844.8,844.8,844.8,694.7,655.5,654.0,650.0,650.0,760.0,759.0,738.0,738.0,742.0,739.0,742.0,740.0,741.0,742.0,764.0,765.0,763.0,765.0,765.0,3.8,3.5,2.9
Natural gas,"10,856.6","9,271.6","9,238.6","7,410.0","7,410.0","5,936.3","5,709.3","5,710.7","5,121.7","5,075.7","4,896.7","4,429.0","4,395.0","4,395.0","4,101.0","3,714.0","2,097.0","2,119.0","1,877.0","1,318.0","1,318.0","1,395.0",865.0,995.0,400.0,595.0,336.0,136.0,130.0,9.6,21.2,36.6
..Natural gas - CC,"6,491.3","4,906.3","4,873.3","3,502.2","3,502.2","2,030.0","2,030.0","2,030.0","1,441.0","1,419.0","1,419.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.9
..Natural gas - GT,"3,362.3","3,362.3","3,362.3","3,362.1","3,362.1","3,360.6","3,360.6","3,362.0","3,362.0","3,338.0","3,159.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,11.3
..Natural gas - ST,"1,003.0","1,003.0","1,003.0",545.7,545.7,545.7,318.7,318.7,318.7,318.7,318.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.4
Nuclear,"3,568.0","3,568.0","3,568.0","3,568.0","3,568.0","3,581.3","3,562.0","3,539.0","3,501.0","3,404.0","3,404.0","3,404.0","3,432.0","3,432.0","3,440.0","3,467.0","3,467.0","3,467.0","3,467.0","3,392.0","3,392.0","3,392.0","3,392.0","3,392.0","3,349.0","3,349.0","3,349.0","3,382.0","3,382.0",17.7,14.5,12.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,206.0,206.0,206.0,129.0,129.0,0.0,0.0,0.0,257.0,62.0,62.0,1.0,0.0,0.0
Other biomass,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum,"1,953.0","1,955.6","1,960.7","1,953.5","1,949.9","1,949.9","1,980.0","1,980.0","2,044.0","2,045.5","2,036.5","2,037.0","2,023.0","2,027.0","2,078.0","2,061.0","2,081.0","2,180.0","2,176.0","2,214.0","2,214.0","2,193.0","2,193.0","1,375.0","2,690.0","2,785.0","2,753.0","2,753.0","2,752.0",11.1,8.5,6.6
..Petroleum - GT,273.0,273.0,275.1,275.1,275.1,275.1,275.1,275.1,339.1,339.1,339.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9
..Petroleum - IC,104.0,106.6,109.6,102.4,98.8,98.8,100.9,100.9,100.9,102.4,93.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
..Petroleum - ST,"1,576.0","1,576.0","1,576.0","1,576.0","1,576.0","1,576.0","1,604.0","1,604.0","1,604.0","1,604.0","1,604.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5.3
Pumped storage,"3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,161.0","3,161.0","2,997.0","2,917.0","2,700.0","2,638.0","2,645.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0",11.9,13.4,10.9
Solar,61.2,39.4,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
