"","Plant_Name","CO2_Emissions_(tons)","SO2_Emissions_(tons)","NOX_Emissions_(tons)"
"6","Altavista Power Station","948","10","212"
"7","Amelia","2309","4","562"
"8","Ameresco Stafford","--","0","120"
"9","Bayview","2086","4","42"
"10","Bear Garden","1451432","8","89"
"11","Belle Haven Diesel Generation Facility","172","0","3"
"12","Bellmeade Power Station","25244","16","6"
"13","Birchwood Power","553995","241","249"
"14","Boydton Plank Road Cogen Plant","344","1","7"
"15","Bremo Bluff","8763","0","10"
"16","Bristol Plant","390","1","120"
"17","Brunswick County Power Station","3117479","16","157"
"18","Brunswick Landfill Gas","2056","4","604"
"19","Buchanan Generation LLC","103461","1","68"
"20","Celanese Acetate LLC","445112","2","53"
"21","Charles City","3226","5","830"
"22","Chesapeake","1546","3","9"
"23","Chesterfield Landfill Gas","3315","6","879"
"24","Church Street Plant","37","0","1"
"25","Clinch River","349981","158","411"
"26","Clover","2785729","854","4248"
"27","Commonwealth Chesapeake","75539","18","72"
"28","Covanta Alexandria/Arlington Energy","139813","3","164"
"29","Covanta Fairfax Energy","488964","75","1413"
"30","Covington Facility","830257","5812","1119"
"31","Danville Westover Plant","126","0","3"
"32","Darbytown","64327","41","109"
"33","Dean Drive Area Electric Generators","37","0","1"
"34","Dominion/Lo Mar","149","0","2"
"35","Doswell Energy Center","2353418","16","771"
"36","Downtown","38","0","1"
"37","Electric Avenue Facility","81","0","2"
"38","Elizabeth River Power Station","167153","21","189"
"39","Elkton","45217","1","118"
"40","Frederick County LFGTE Facility","--","0","113"
"41","Gateway Gen","26","0","1"
"42","Georgia-Pacific Big Island","11843","28","4"
"43","Godwin Drive Plant","73","0","1"
"44","Gordonsville Energy LP","362423","6","91"
"45","Gravel Neck","67848","33","108"
"46","Greensville County Power Station","294438","1","14"
"47","HP Hood CT","50017","0","135"
"48","Halifax County Biomass","--","48","42"
"49","Henrico","674","1","205"
"50","Hopewell Cogeneration","717446","20","636"
"51","Hopewell Mill","119916","1518","595"
"52","Hopewell Power Station","59","12","240"
"53","I 95 Landfill Phase II","--","0","223"
"54","I 95 Municipal Landfill Phase I","--","0","168"
"55","International Paper Franklin Mill","27352","1420","269"
"56","James River Genco LLC","462133","1414","855"
"57","King & Queen","3076","5","759"
"58","Ladysmith","379895","8","124"
"59","Louisa Generation Facility","344125","3","87"
"60","Low Moor","3361","6","19"
"61","MM Prince William Energy","--","0","612"
"62","Marsh Run Generation Facility","330852","2","105"
"63","Martinsville LFG Generator","1064","0","51"
"64","Mecklenburg Power Station","64950","33","97"
"65","MillerCoors Shenandoah Brewery","--","0","10"
"66","Monterey Diesel Generation Facility","173","0","3"
"67","Mount Clinton","226","0","3"
"68","Multitrade of Pittsylvania LP","--","21","83"
"69","New River","813","1","234"
"70","Northern Neck","2873","5","16"
"71","Nottoway Diesel Generating Facility","179","0","4"
"72","Onancock Diesel Generation Facility","134","0","3"
"73","Park 500 Philip Morris USA","45560","0","45"
"74","Perdue Diesel Generation Facility","143","0","3"
"75","Pleasant Valley (VA)","223","0","2"
"76","Ponton Diesel Generating Facility","116","0","2"
"77","Possum Point","1463846","158","234"
"78","Pretlow","26","0","1"
"79","Radford Army Ammunition Plant","145825","1","174"
"80","Remington","475230","6","153"
"81","Richmond Energy","--","0","679"
"82","Rockville 1 & 2","463","1","9"
"83","Salem Electric Department","58","0","1"
"84","Salem Street Dept","90","0","2"
"85","Salem Water Plant","81","0","2"
"86","Southampton Power Station","1349","13","251"
"87","Spruance Operating Services LLC","718019","257","1060"
"88","Stonewall","1776426","2","64"
"89","Suffolk Energy Partners LP","--","0","270"
"90","Tangier","133","0","3"
"91","Tasley","812","0","10"
"92","Tenaska Virginia Generating Station","2192908","11","172"
"93","VMEA 1 Credit Gen","108","0","2"
"94","VMEA Peaking Gen","54","0","1"
"95","Virginia Beach","564","1","23"
"96","Virginia City Hybrid Energy Center","2571065","86","893"
"97","Virginia Tech Power Plant","81563","141","188"
"98","Warren County","2987284","16","148"
"99","Waste Management Bethel LFGTE","--","0","494"
"100","Waste Management King George LFGTE","--","1","187"
"101","Waste Management Middle Peninsula LFGTE","--","0","612"
"102","Water Treatment Plant Generators","4","0","0"
"103","WestRock-West Point Mill","315432","70","134"
"104","Wheelabrator Portsmouth","359858","272","1137"
"105","Wolf Hills Energy","65317","0","103"
"106","Yorktown","594808","3730","1046"
