Retail sales of electricity Virginia annual
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g0000001&endsec=vg&linechart=~ELEC.SALES.VA-ALL.A~ELEC.SALES.VA-RES.A~ELEC.SALES.VA-COM.A~ELEC.SALES.VA-IND.A~ELEC.SALES.VA-TRA.A~ELEC.SALES.VA-OTH.A&columnchart=ELEC.SALES.US-ALL.A&map=ELEC.SALES.US-ALL.A&freq=A&start=2001&end=2018&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
10:16:22 GMT-0500 (Eastern Standard Time)
Data source: U.S. Energy Information Administration
Year,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours,transportation million kilowatthours,other million kilowatthours
2018,118186.64502,47962.60602,52268.21103,17757.233,198.595,
2017,111529.73202,43982.44002,50200.52502,17168.82001,177.94699,
2016,112280.66502,45186.05701,49263.84699,17648.01402,182.74701,
2015,112009.04499,45928.411,48347.037,17537.16501,196.43202,
2014,112098.38099,46443.71598,47751.655,17700.993,202.017,
2013,110511.82702,45416.25301,47750.59501,17150.37498,194.604,
2012,107794.98502,43534.67501,46756.65802,17315.73901,187.913,
2011,110228.265,45771.14402,47051.42501,17218.00501,187.691,
2010,113806.135,48438.95802,48036.98399,17141.22399,188.969,
2009,108462.463,44763.019,46828.102,16677.92802,193.414,
2008,110106.337,44596.588,46877.97301,18437.71302,194.063,
2007,111569.55202,45480.519,46971.48,18924.87098,192.682,
2006,106721.241,42906.01801,44653.831,18998.10901,163.283,
2005,108849.55199,44661.83901,44670.19198,19354.048,163.473,
2004,105424.17301,42503.39499,43024.672,19734.46099,161.645,
2003,101509.73099,40876.70601,41179.139,19282.21402,171.672,
2002,100618.57,40358.37299,29998.98999,19520.908,,10740.29901
2001,96453.17501,37325.23101,29065.83601,19701.91799,,10360.19
