Data_Status,StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017F,AK,CLPRB,11263,11497,13588,13307,11622,13931,14461,14430,11700,10405,8564,10889,10421,10826,10920,11950,11014,10998,11404,12308,12340,12605,12995,12262,13400,22355,24492,23275,27222,24679,26614,22402,23930,24976,24445,26489,23104,22620,20966,24414,25600,23618,17878,16864,23587,22682,22230,20654,23041,29016,33556,33524,31332,24917,22944,17747,13942,14365
2017F,AK,CLPRK,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.268,15.272,15.278,15.073,14.957,14.978
2017F,AK,CLPRP,722,737,871,853,745,893,927,925,750,667,549,698,668,694,700,766,706,705,731,789,791,808,833,786,859,1433,1570,1492,1745,1582,1706,1436,1534,1601,1567,1698,1481,1450,1344,1565,1641,1514,1146,1081,1512,1454,1425,1324,1477,1860,2151,2149,2052,1632,1502,1177,932,959
2017F,AK,COPRK,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.717,5.722,5.723
2017F,AK,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017F,AK,ENPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017F,AK,GETCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,86,86,86,86,89,88,90,87,87,130,151,153,214,186,186,186,186,186,186
2017F,AK,HYTCB,3120,3168,3207,3410,3374,3655,3293,3786,3781,3562,3806,3807,3594,2973,3407,3713,3978,5343,4889,4747,5599,6171,5870,6243,7235,7816,8448,9080,9658,9102,10137,9352,9495,13433,13879,14149,13089,11224,11353,8351,10220,13905,14643,16023,15004,14638,12137,12762,11547,12920,13982,13066,14988,13696,14633,14621,15317,15143
2017F,AK,NGMPB,248,637,2205,4541,6332,7325,11375,14576,17509,51351,112645,122431,127781,134307,131800,163529,169361,191457,204926,222236,232362,244752,265384,278162,295524,336888,315840,404883,431611,436710,432880,501639,513416,497716,622300,547493,557204,552678,547045,541668,549234,553301,539400,562687,543764,548394,497073,489308,448503,443666,419310,405691,399421,380655,381937,380887,369864,382663
2017F,AK,NGMPK,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.007,1.017,1.025,1.022,1.02,1.02,1.019,1.009,1.007,1.008,1.009,1.004,1.005,1.022,1.048,1.036,1.125,1.14,1.109,1.074,1.146,1.157,1.157,1.12,1.166,1.159,1.18,1.172,1.17,1.197,1.174,1.164,1.149,1.152,1.125,1.118,1.129,1.126,1.117,1.12,1.139,1.137,1.126,1.106,1.108,1.112,1.111
2017F,AK,NGMPP,246,631,2184,4498,6272,7255,11267,14438,17343,50864,111576,121618,125596,131007,128935,160270,166072,187889,203088,220754,230588,242564,264364,276691,289129,321346,304841,359837,378638,393729,402907,437822,443597,430350,555402,469550,480828,468311,466648,462967,458995,471440,463301,489757,471899,487282,444724,433485,398442,397077,374226,356225,351259,338182,345310,343625,332749,344385
2017F,AK,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
